education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major,country,depression_total_score,anxiety_total_score,stress_total_score
3,2,2,2,18,2,10,1,10,2,1,5,Law,MY,54,52,50
2,2,1,2,24,2,1,2,60,2,1,3,,FR,26,26,24
1,3,1,1,28,1,12,1,60,2,2,1,,US,35,31,35
3,2,2,2,19,1,10,5,10,2,1,3,Communication ,MY,42,28,41
3,2,2,2,21,1,10,1,10,2,1,4,Mass Communication in Broadcasting,MY,49,41,45
3,1,1,2,21,1,10,1,10,2,1,7,Aircraft maintenance engineering,MY,51,39,55
4,1,2,2,22,1,10,5,10,2,1,5,Science Computer,MY,33,34,28
1,3,2,2,16,1,8,1,70,2,1,2,,IN,27,25,26
3,3,2,2,29,1,10,1,10,1,2,3,Business management,ID,28,29,32
3,1,2,2,26,1,10,5,10,1,1,4,IT Management,MY,32,30,28
2,1,2,2,18,1,4,2,60,2,1,1,,PL,35,31,33
3,2,2,2,21,1,10,5,10,2,1,4,Economics,MY,29,29,36
1,3,1,2,17,2,2,1,70,2,1,1,,US,38,35,41
3,3,2,2,20,1,10,5,10,2,1,4,Accounting ,MY,49,46,48
2,2,2,1,17,1,11,1,10,2,1,3,,US,46,38,41
4,2,2,2,28,1,1,1,10,1,1,3,psychology,US,27,24,31
3,3,2,2,22,1,10,2,10,2,1,3,Medical ,MY,28,32,30
2,3,2,2,15,1,3,5,10,2,1,4,,MY,25,21,24
3,2,2,1,52,1,4,1,60,1,2,0,Chemistry ,US,16,15,14
3,2,1,2,17,1,2,1,10,2,1,1,physics,RU,33,36,32
3,3,2,2,18,1,10,3,10,2,1,6,Business ,MY,35,37,35
3,2,2,2,21,1,10,1,10,2,1,5,Psychology,MY,25,21,25
3,3,2,2,18,1,10,1,10,2,1,3,life science,MY,44,31,41
3,3,3,1,18,1,2,2,60,2,1,2,Graphic Arts,US,56,55,56
3,1,2,2,22,1,10,3,10,2,1,4,Bachelor of Occupational safety and health,MY,23,18,18
3,2,2,2,27,1,10,2,10,2,1,5,engineering,MY,30,31,29
3,1,1,2,23,1,10,3,10,1,1,3,Environmental Engineering,MY,37,32,35
3,2,2,2,37,1,10,1,70,1,1,5,Management,MY,38,36,46
3,3,2,1,24,1,10,5,10,2,1,6,Business,MY,39,31,44
3,1,2,2,26,1,10,5,10,1,1,3,Event management ,MY,31,31,33
3,3,2,1,24,1,10,1,10,1,1,4,Aviation management ,MY,39,38,41
3,1,2,1,24,2,10,5,10,2,1,4,Art,MY,43,28,37
3,3,2,2,17,1,10,1,10,2,1,6,Surgery,FR,29,29,32
3,2,3,1,22,1,12,5,60,2,1,3,Arts and Technology,US,39,31,36
2,2,2,2,14,1,10,1,70,2,1,3,,MY,44,38,43
3,1,1,2,25,3,10,2,10,2,1,4,Bachelor of English,MY,46,45,41
4,3,2,1,20,1,10,5,10,2,1,4,Psychology,PK,30,32,26
4,1,2,2,24,1,10,1,10,2,1,6,islamic,MY,20,21,21
1,3,2,2,17,1,10,5,10,2,1,4,,MY,42,33,31
3,2,2,1,23,2,7,1,10,2,1,3,Psychology ,MY,51,46,50
1,3,2,1,13,1,7,5,70,2,1,5,,US,48,47,52
3,3,2,2,21,3,4,2,70,2,1,3,Psychology ,US,30,30,33
3,1,2,2,17,1,7,2,60,2,1,1,Foreign languages,RU,20,17,25
3,3,1,2,25,1,4,5,10,2,2,3,IT,MY,20,17,21
3,1,2,2,27,1,10,1,10,1,1,4,Biology,MY,46,41,40
1,2,3,1,16,1,1,1,70,2,1,2,,US,56,56,56
3,3,2,2,19,1,10,1,10,2,1,5,Medic,MY,27,21,27
2,3,2,1,13,1,1,1,60,2,1,1,,AU,41,36,41
4,3,2,2,23,1,10,1,10,2,3,0,Engineering physics,MY,30,27,38
2,3,2,1,14,1,4,5,60,2,1,1,,US,27,27,24
4,2,2,2,27,1,10,1,10,2,1,3,Customer Service,MY,46,48,44
3,3,2,2,18,1,10,1,10,0,3,8,Music,MY,43,44,47
2,3,2,2,21,1,10,1,10,2,1,5,,MY,50,44,47
3,1,2,1,17,1,4,1,60,2,1,2,Economics (B.A.),US,26,24,27
3,3,2,2,15,1,10,5,10,1,1,6,Accountant,MY,26,22,22
2,1,2,2,18,1,10,1,10,2,1,2,,MY,25,29,27
3,3,2,2,21,1,6,1,60,1,1,2,German,CH,25,26,27
3,3,2,1,21,1,10,1,10,2,1,4,nautical studies ,MY,41,37,44
3,2,2,1,20,1,7,1,10,2,1,1,psychology,US,29,31,31
1,1,2,1,15,1,2,3,60,2,1,3,,US,47,39,44
1,3,2,1,17,1,1,2,70,2,1,2,,US,22,19,22
